1		122					
0	519.0302688	16.1	247.2	370.8	46.215	656.2888889	6.48
1314000	402.7851642	22.63	285.6	428.4	42.735	625.9555556	7.55
3942000	515.5664516	24.85	232.8	349.2	40.665	489.3	6.58
6570000	679.7331667	27.36	199.2	298.8	31.23	452.06	5.72
9198000	729.0957527	28.73	314.4	471.6	37.14	470.96	6.21
11826000	888.4206111	25.62	158.4	237.6	41.685	433.8444444	5.48
14454000	1099.568817	20.95	201.6	302.4	32.61	515.6666667	5.85
17082000	718.4891935	16.35	163.2	244.8	29.565	531.475	6.76
19710000	1298.633778	11.36	129.6	194.4	33.21	526.8666667	7.82
22338000	795.1483871	7.82	189.6	284.4	34.065	595.7777778	9.14
24966000	677.2365556	8.24	235.2	352.8	37.53	636.3777778	8.97
27594000	450.867043	9.66	208.8	313.2	37.215	622.2222222	8.67
30222000	687.2339826	17.6	182.4	273.6	35.895	627.48	7.96
32850000	801.5725015	20.61	86.4	129.6	40.785	552.58	6.64
35478000	1047.421141	22.88	158.4	237.6	42.15	502.74	5.74
38106000	1144.089658	26.7	90	135	34.92	445.06	5.37
40734000	1421.890988	26.53	170.4	255.6	43.5	529.9	4.57
43362000	1642.741376	24.76	92.4	138.6	34.71	484.68	5.73
45990000	1701.463631	19.89	116.4	174.6	31.44	513.52	6.48
48618000	2086.735033	15.69	60	90	27.98333333	522.2	7.22
51246000	2668.473453	12.87	112.8	169.2	29.45	463.54	7.38
53874000	2621.210687	10.46	91.2	136.8	33.855	597.38	8.32
56502000	2542.41402	9.39	122.4	183.6	35.04	533.26	8.35
59130000	2543.771378	12.75	140.8	211.2	40.2	652.96	7.92
61758000	4012.668817	17.97777778	184	276	39.23333333	532	6.4875
64386000	1320.884446	19.15555556	112	168	40.46666667	534.9555556	5.9625
67014000	3282.696613	23.46666667	211.2	316.8	34.73333333	461.5333333	5.75
69642000	2629.436333	25.62222222	46.4	69.6	34.28333333	483.1555556	5.344444444
72270000	4515.250806	28.62222222	174.4	261.6	38.4	418.9111111	4.5125
74898000	6392.488667	26.52222222	54.4	81.6	32.93333333	421.4	5.425
77526000	5268.253571	20.46666667	131.2	196.8	29.56666667	475.8444444	6.8125
80154000	10013.70453	15.06666667	62.4	93.6	22.56666667	404.4444444	7.1375
82782000	8696.094917	12.3	120	180	27.91666667	439.7555556	7.6125
85410000	7225.555484	8.888888889	64	96	31.51666667	492.8	8.977777778
88038000	1378.594667	8.3	124.8	187.2	34.15	553.3111111	9.133333333
90666000	3484.533871	8.666666667	64	96	34.11666667	506.8	8.833333333
93294000	4154.114171	14.775	228	342	36.9375	653.8	7.7
95922000	2334.601734	18.85555556	129.6	194.4	35.41666667	561.75	6.4
98550000	6416.752469	21.68	147.6	221.4	31.08	399.4666667	6.39
101178000	4643.822667	23.68	148.8	223.2	32.385	468.3	5.65
103806000	6157.773548	25.77	96	144	30.9	420.7	6.27
106434000	3404.875333	25.08	96	144	27.7125	402	6.03
109062000	6599.205	19.96	96	144	29.53333333	418	6.48
111690000	14002.91161	15.69	81.6	122.4	29.22	498.575	7.66
114318000	5608.444	12.96	64.8	97.2	28.71	563.675	7.72
116946000	5850.802258	9.96	84	126	27.345	557.725	8.79
119574000	9197.592	9.08	115.2	172.8	36.72	687.225	8.54
122202000	2577.665484	9.66	111.6	167.4	34.77	631.925	8.55
124830000	585.5158065	16.15	156	234	43.17	626.78	7.02
127458000	1094.758214	18.3	104.4	156.6	34.29	488.18	6.32
130086000	4886.15129	22.56	123.6	185.4	37.695	472.08	6.48
132714000	2830.031333	26.21	93.6	140.4	36.315	481.46	6.2
135342000	4831.475093	28.33	99.6	149.4	43.62	489.02	5.65
137970000	4496.481471	27.06	93.6	140.4	36.765	462.42	5.23
140598000	1826.295	19.26	55.2	82.8	28.065	517.16	7.26
143226000	3042.952258	17.16	44.4	66.6	22.515	557.48	7.51
145854000	6873.721667	14.06	54	81	20.955	438.9	7.91
148482000	29640.12774	10.32	69.6	104.4	23.235	483.28	8.63
151110000	4719.32	9.21	114	171	26.67	446.04	9.16
153738000	2456.764892	10.54	136.8	205.2	32.025	597.38	8.836
156366000	3204.669677	14.11	148.8	223.2	38.685	544.18	7.64
158994000	2560.555565	17.36	110.4	165.6	32.64	383.6	6.942
161622000	2915.098065	21.4	126.4	189.6	35.025	367.738	6.636
164250000	3331.196333	24.31	99.2	148.8	28.695	313.978	6.062
166878000	4632.525484	26.99	123.2	184.8	28.29	322.966	6.083
169506000	6194.617333	25.53	97.6	146.4	26.28	332.668	6.687
172134000	8751.230645	21.15	116.8	175.2	31.665	322.434	6.398
174762000	9349.013757	17.76	96	144	22.65	306.068	7.088
177390000	6303.104667	13.18	75.2	112.8	24.765	300.37	7.826
180018000	7566.251836	8.33	83.2	124.8	26.025	384.342	9.663
182646000	1810.631	9.25	107.2	160.8	24.555	336.406	9.65
185274000	559.0144026	11.62	105.6	158.4	35.76	509.292	8.451
187902000	2610.893548	15.28	169.6	254.4	35.1	449.82	7.414
190530000	5176.955053	17.51	105.6	158.4	39.015	405.916	6.799
193158000	3249.826828	20.27	94.4	141.6	36.975	346.626	5.89
195786000	5046.626684	25.4	100.8	151.2	36.69	374.038	5.685
198414000	4771.222903	26.16	115.2	172.8	34.395	367.5	5.587
201042000	5271.2305	25.41	120	180	36.54	334.026	5.757
203670000	6931.645645	20.64	92.8	139.2	23.715	346.416	6.615
206298000	4390.472581	18.99	56	84	24.54	390.754	6.821
208926000	7538.780333	13.52	44.8	67.2	26.175	431.522	7.611
211554000	10962.74371	10.28	44.8	67.2	23.025	340.396	8.293
214182000	5362.9935	10.63	80	120	23.85	425.432	8.672
216810000	7921.594516	12.18	91.2	136.8	30.36	487.326	8.573
219438000	2223.244355	15.84	130.56	303.84	36.27	486.178	7.713
222066000	2806.088413	19.1	149.76	476.64	30.21666667	425.2888889	6.088888889
